# beardifier compute golden (BeardProbe)
# affected -54 -84 -54 82 36 71
-70 7 -7 0000000000000000
-70 7 0 0000000000000000
-70 7 7 0000000000000000
-70 7 14 0000000000000000
-70 7 21 0000000000000000
-70 7 28 0000000000000000
-70 7 35 0000000000000000
-70 7 42 0000000000000000
-70 7 49 0000000000000000
-70 7 56 0000000000000000
-70 7 63 0000000000000000
-70 7 70 0000000000000000
-70 7 77 0000000000000000
-70 7 84 0000000000000000
-70 7 91 0000000000000000
-70 7 98 0000000000000000
-70 10 -70 0000000000000000
-70 10 -63 0000000000000000
-70 10 -56 0000000000000000
-70 10 -49 0000000000000000
-70 10 -42 0000000000000000
-70 10 -35 0000000000000000
-70 10 -28 0000000000000000
-70 10 -21 0000000000000000
-70 10 -14 0000000000000000
-70 10 -7 0000000000000000
-70 10 0 0000000000000000
-70 10 7 0000000000000000
-70 10 14 0000000000000000
-70 10 21 0000000000000000
-70 10 28 0000000000000000
-70 10 35 0000000000000000
-70 10 42 0000000000000000
-70 10 49 0000000000000000
-70 10 56 0000000000000000
-70 10 63 0000000000000000
-70 10 70 0000000000000000
-70 10 77 0000000000000000
-70 10 84 0000000000000000
-70 10 91 0000000000000000
-70 10 98 0000000000000000
-70 13 -70 0000000000000000
-70 13 -63 0000000000000000
-70 13 -56 0000000000000000
